scheme_code,scheme_name,date,nav
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-01,51.3793
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-02,51.7411
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-03,51.8788
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-04,51.9355
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-07,51.6972
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-08,51.8114
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-09,51.5483
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-10,51.5226
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-11,51.3721
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-14,51.9953
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-15,52.273
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-16,51.801
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-17,52.1219
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-18,52.3379
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-21,52.4919
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-22,52.1994
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-23,52.2546
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-24,51.9476
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-25,52.4268
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-28,52.425
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-29,52.2066
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-30,52.2563
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-01-31,52.0753
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-01,51.7715
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-04,51.6644
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-05,51.4068
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-06,51.4259
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-07,51.2485
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-08,50.9431
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-11,50.8923
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-12,51.101
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-13,51.1873
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-14,50.8746
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-15,50.7969
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-18,50.8994
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-19,51.2553
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-20,51.2837
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-21,50.5029
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-22,50.4863
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-25,50.5238
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-26,49.7258
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-27,50.0268
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-02-28,49.1318
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-01,49.3741
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-04,49.188
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-05,49.9235
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-06,50.2177
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-07,50.5986
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-08,51.3019
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-11,51.2695
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-12,51.0282
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-13,50.4832
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-14,50.9825
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-15,50.6677
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-18,50.3577
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-19,49.5867
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-20,49.1495
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-21,48.8496
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-22,48.8018
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-25,48.6416
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-26,48.7073
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-03-28,49.0444
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-01,49.2056
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-02,49.5792
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-03,48.9326
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-04,48.0822
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-05,47.8952
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-08,47.8062
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-09,47.3985
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-10,47.9367
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-11,48.2361
119063,HDFC Index Fund Nifty 50 Plan - Direct Growth,2013-04-12,47.6679
